Event ID,Prediction,DoS Score,Risk Level,SOC Action,Actual,Analyst Decision,MITRE Tactic,MITRE Technique ID,MITRE Technique
64,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
65,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
66,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
67,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
68,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
69,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
70,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
71,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
72,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
73,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
74,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
75,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
76,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
77,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
78,1,0.9660019202069975,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
79,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
80,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
81,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
82,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
83,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
84,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
85,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
86,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
87,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
88,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
89,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
90,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
91,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
92,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
93,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
94,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
95,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
96,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
97,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
98,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
99,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
100,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
101,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
102,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
103,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
104,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
105,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
106,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
107,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
108,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
109,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
110,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
111,1,0.9568226701974889,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
112,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
113,1,0.9276443566136899,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
114,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
115,1,0.9940406978272739,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
116,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
117,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
118,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
119,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
120,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
121,1,0.76,MEDIUM,HUMAN REVIEW,0,PENDING REVIEW,Impact,T1498,Network Denial of Service
122,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
123,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
124,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
125,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
126,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
127,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
128,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
129,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
130,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
131,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
132,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
133,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
134,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
135,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
136,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
137,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
138,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
139,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
140,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
141,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
142,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
143,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
144,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
145,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
146,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
147,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
148,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
149,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
150,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
151,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
152,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
153,1,0.9276443566136899,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
154,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
155,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
156,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
157,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
158,0,0.01,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
159,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
160,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
161,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
162,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
163,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
164,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
165,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
166,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
167,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
168,0,0.01,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
169,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
170,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
171,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
172,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
173,1,0.9838642700460035,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
174,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
175,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
176,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
177,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
178,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
179,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
180,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
181,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
182,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
183,1,0.9276443566136899,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
184,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
185,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
186,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
187,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
188,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
189,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
190,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
191,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
192,1,0.9568226701974889,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
193,1,0.9568226701974889,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
194,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
195,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
196,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
197,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
198,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
199,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
200,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
201,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
202,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
203,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
204,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
205,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
206,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
207,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
208,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
209,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
210,1,0.9919536020296691,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
211,1,0.884001198875355,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
212,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
213,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
214,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
215,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
216,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
217,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
218,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
219,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
220,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
221,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
222,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
223,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
224,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
225,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
226,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
227,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
228,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
229,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
230,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
231,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
232,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
233,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
234,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
235,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
236,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
237,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
238,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
239,1,0.9660019202069975,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
240,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
241,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
242,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
243,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
244,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
245,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
246,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
247,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
248,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
249,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
250,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
251,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
252,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
253,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
254,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
255,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
256,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
257,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
258,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
259,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
260,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
261,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
262,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
263,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
264,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
265,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
266,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
267,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
268,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
269,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
270,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
271,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
